PeakAcceleration,Feat1,Feat2,Feat3,Feat4,Feat5
0.041,0.651368285,-0.649844245,-0.180832033,1.855178334,-0.769820473
0.19,0.26145553,-0.386974848,0.063554578,0.988792849,-0.190170635
0.026,0.316235837,-1.632338513,0.399304292,0.158447124,0.008188989
0.127,0.244430549,-1.43174395,0.058677378,1.519410061,-0.491521021
0.015,0.536994894,-1.088673658,0.281308458,-1.266593217,0.354578966
0.076,-0.36425694,-1.220102517,-0.083933833,-0.967354971,0.401042102
0.241,1.032352115,-0.766112376,0.261526398,-1.167038556,0.572100095
0.565,1.462296102,1.255341067,-0.908238716,-0.896846059,0.363418645
1.472,-1.71951507,0.551955573,-1.255687926,1.563552443,-0.428126112
0.128,0.49281409,-1.526120247,0.410601059,0.205908853,0.069567763
0.501,-1.624226676,1.110339568,-1.20444979,-0.814100591,-0.002050519
0.206,0.638342848,-1.339151015,0.436979229,0.237697415,0.109177329
0.018,0.131818824,-1.248714666,0.448395782,-2.094803015,0.577910181
0.066,0.410390194,-1.478631534,0.353801378,0.228269914,-0.034836175
0.074,0.665228888,-0.961296662,0.160445327,-1.560786867,0.619906582
0.626,-0.417049545,2.376587224,-1.209500929,2.85181732,-1.001914833
0.501,0.709674628,-1.240931247,0.433889611,0.317407178,0.184551898
0.031,0.508465653,-1.422885528,0.358739299,0.258294032,-0.09255024
0.618,-0.496209381,-0.304298784,-1.207317249,1.360068885,-0.296709209
0.046,-1.441709255,-0.10604619,-1.11594083,-0.731344827,-0.070221988
0.094,2.277230593,0.943448186,0.266060066,-0.197139161,-0.085621676
0.097,-1.578952126,-0.279870634,-1.298600083,1.354868908,-0.655584059
0.143,-0.200103498,-1.015941987,-0.071877104,-0.84893555,0.421870869
0.008,-0.122082738,-1.884037678,0.387121616,-1.647204534,0.609910812
0.013,0.26337159,-1.378215574,0.302785693,-1.75221839,0.606711645
0.318,0.536482267,-1.441605055,0.192855372,1.026090021,-0.255343433
0.016,0.407044927,-1.492576723,0.399687864,0.463040948,-0.119189466
0.072,0.397030115,-1.482270782,0.388227794,0.194581299,-0.037532854
6.272,1.00580606,-0.425706114,0.758417982,1.103479025,1.492809483
0.071,0.085111462,-0.551527393,-0.161236602,-0.741130735,0.256114693
0.027,0.766968571,-1.317229283,0.576753469,-0.430095228,0.315314899
0.597,-0.538243762,-0.262584972,-1.218577003,-0.73894244,0.307090033
0.184,-0.015884082,-0.683855797,-0.158342257,-0.734578151,0.257105523
0.152,1.076892742,1.714386935,-2.146923859,-1.386620065,-0.016264378
0.275,2.225716849,1.171620428,0.304210007,0.043133216,-0.012334092
0.291,0.875657919,-0.87533752,0.320200866,0.44777153,-0.115814199
0.067,0.23879712,-0.813825278,-0.138788725,-1.031541702,0.519708293
4.069,-2.544440176,1.727891059,-1.078333511,-1.019701841,0.733380166
0.183,-2.069725193,0.400037191,-1.140615421,-0.558032633,-0.180196959
0.114,1.945396529,2.51881933,-0.602940929,-0.022482598,-0.370935997
1.471,5.080140183,7.483814544,1.818160602,-0.508112134,-0.967039857
0.048,0.362721028,-1.580892087,0.377046079,0.173848541,0.027140318
0.389,-1.716862147,1.164642262,-1.306388423,-0.839749985,-0.231195975
0.247,0.013864774,-0.869818413,-0.293484547,1.189305103,-0.354152893
0.168,3.737944462,1.100139895,1.13683059,-0.144466027,0.006856872
0.024,0.950250267,-1.084883766,0.435711919,-0.764514222,0.358143551
0.048,-1.103737613,0.049652349,-1.315501798,1.575154462,-0.732998598
0.036,-0.211713233,-0.860573033,-0.163070866,-0.500007621,0.070420665
0.336,0.497972276,-1.400353158,0.395652253,0.258106778,0.108565251
0.927,0.601128869,1.80295283,-0.589931022,0.287030418,0.018018239
0.05,0.897548718,-1.179347868,0.139790361,1.433582858,-0.294951666
1.085,0.234877003,-0.480759544,2.278061505,1.886570298,-0.565932611
0.413,1.798982136,3.783301905,-0.57213038,0.523582456,-0.707249575
0.07,0.387733069,-1.646495856,0.412655093,0.117676863,0.051001818
0.048,0.619263935,-1.220856069,0.280291543,0.436537708,-0.226930848
0.24,-1.333010848,0.030804515,-1.116820143,0.129008498,-0.312840517
0.044,0.411147779,-0.752831272,0.018675349,-1.734278565,0.490093494
0.177,0.47854827,-1.566237159,0.050762847,1.400434899,-0.194595792
0.125,-0.628867142,-1.552229867,-0.183007267,0.586374067,-0.073386908
0.11,0.227273581,-0.34006507,-0.218725319,-0.618707674,0.128483778
0.79,-1.438757943,0.267948775,-1.125778179,-0.810117696,0.067334641
0.067,0.312626631,-1.358368979,0.399637791,-1.578409662,0.602774831
0.6,-1.637940009,2.928456507,-1.404303123,-0.690551894,-0.54974986
0.721,-3.552063126,1.932935284,4.075250927,-0.465181689,-0.755161165
0.399,-0.427636573,1.38962071,-1.235942548,1.914025974,-0.848807692
0.399,2.569161843,2.583858564,-0.712608587,0.440897261,-0.36500989
0.954,0.049221116,-0.550817769,-0.173481207,0.192337789,0.149253826
0.033,-0.070881986,-0.92887634,-0.06358822,-0.640931466,0.282201548
0.017,2.629501639,-0.340756602,-1.077548951,-1.783193164,0.456525188
0.02,0.32639638,-1.49837905,0.372559365,-0.869416813,0.279519653
0.309,0.776382886,-1.145923558,0.368755621,0.388100289,0.078763737
1.706,-2.04199646,2.418834374,-1.274210494,-0.905994708,-0.108310342
0.36,0.466958699,-1.530516475,0.423997819,0.158333186,0.132566914
0.012,0.708296799,-1.15285064,0.257615314,-1.046262993,0.277000571
1.187,-1.373321163,1.152416334,-1.165656936,1.543209928,-0.494600275
0.072,1.121494973,-0.708071059,0.445341524,-0.261289461,0.117354093
0.148,-1.622583569,1.195311722,-1.277449543,-0.639768239,-0.321769692
0.998,-1.534792523,1.109380438,-1.244278308,-0.690869437,0.082834882
0.339,0.186797789,1.815947785,-1.449824794,-0.483810639,-0.106937817
0.022,0.122845193,-1.319858924,0.356966917,-1.655409048,0.504887278
6.708,-2.30219064,1.849191972,-1.080437919,0.12544734,1.164105952
0.012,1.683624655,0.099312597,0.597288655,0.56734636,-0.196405162
0.597,-1.757989786,1.234423104,-1.146998928,-1.362655132,0.215066022
0.26,0.728466744,-1.13840446,0.373609048,0.313854554,0.001533397
0.65,0.873799748,-0.975400645,0.422951115,0.319758135,0.193724072
0.043,-0.00629232,-0.652536571,-0.191309344,-0.709664354,0.149598247
0.291,-3.623116781,1.669081334,4.083238065,-0.486553303,-0.874202028
0.011,2.295990958,-0.677806521,-0.915516706,-1.856891856,0.57180907
2.974,3.859739253,1.908655092,1.21648884,0.528827158,0.58873869
0.203,-0.198706085,0.246199385,-1.40483136,-1.059880615,0.208959951
16.45,-2.473271261,2.167619198,-0.876826139,0.587066204,3.539978153
3.34,-1.775794271,1.934747825,-1.082359454,0.257835683,0.377418163
0.197,0.20368207,-0.584205623,2.266774416,1.802037431,-0.782558278
0.012,0.294902505,-1.728470228,0.382352655,0.19042068,-0.066744317
63.14,-3.012326873,4.625006455,-0.128529366,4.011526893,14.61296422
0.094,0.763688209,-1.026796465,0.30093824,0.407307634,-0.178566801
0.039,0.460018998,-1.44816126,0.051430285,1.423387034,-0.476421456
0.045,0.492080149,-1.527948891,0.399840237,0.161340067,0.061818314
0.275,-0.329994811,-1.305679303,-0.171796679,0.604913335,-0.090267833
0.319,0.374853437,-0.127870662,-0.216447987,-0.587726847,0.212588262
0.051,0.700374967,-0.712626036,0.278783029,-1.360674507,0.379084452
0.326,1.988463535,1.553462058,-0.459156529,0.065885985,-0.176029698
1.076,-2.579886258,1.117408406,-1.181563035,-0.299009081,-0.245612428
0.09,-1.110293282,0.168715253,-1.069544223,1.195171805,-0.51528815
0.218,-2.215139275,0.37584766,-1.135572648,-1.162131298,0.017855615
0.139,0.471500839,-0.523574336,-0.120229356,-1.620550945,0.418935209
0.63,-3.573053951,2.07937887,3.944134593,-0.396442362,-1.054736248
19.045,-2.311519119,2.400640358,-0.840740465,1.255787954,4.076720618
0.069,-0.480554591,-1.6469468,-0.160304973,0.832936345,-0.111925649
0.329,-1.435324609,1.518725213,1.009685726,1.62806661,-0.959973621
0.011,0.382596684,-1.089048788,0.285807333,-1.370785701,0.354302518
0.107,0.435419902,-0.60208828,0.140543058,-0.295639939,0.052171778
1.027,0.63451041,-1.376465678,0.495948596,0.219099865,0.454015031
0.155,-1.254564921,1.355507294,-1.604317187,-0.783844787,-0.378234832
0.063,0.222714036,-0.771788287,-0.151759402,-1.048600435,0.528220581
1.019,-2.729231735,0.498633406,-0.970911449,-0.68939527,0.189078304
0.43,-0.911677343,0.441449019,-1.045285067,0.3182101,-0.087692628
0.022,1.045032199,0.635003538,-0.158535574,-1.174417704,-0.244406176
0.078,-1.183459675,-0.075193145,-1.274993188,1.489608864,-0.658537773
0.041,0.397975022,-1.237796453,0.315633105,-1.416077595,0.438341191
0.108,-0.597697538,-1.888709447,-0.112039775,0.743517064,0.020362331
0.133,0.590067619,-1.396559069,0.442323311,0.184883051,0.090035624
0.067,2.230772583,0.880001996,0.267678967,-0.216149258,-0.101250132
0.113,-1.424392497,-0.405858982,-1.25399036,1.385517724,-0.615681633
1.26,6.405480583,3.485440827,0.316371885,-0.059791166,-0.05914391
0.53,-1.617235407,0.819607184,-1.299718372,1.243718348,-0.753237604
0.123,0.744768952,-1.317036272,0.192334955,1.222245575,-0.308902119
0.007,-0.055651718,-2.302416262,0.491368894,-0.424995469,0.328374093
15.086,-1.890311878,3.294821249,-1.100065759,0.47629113,2.852861143
0.176,-1.669376097,0.970093435,-1.389593133,-1.139516873,0.006924574
0.163,1.320801133,3.126866601,-0.44179529,0.335026511,-0.633715728
0.533,-2.879388748,2.727804797,3.943776201,-0.229867077,-0.974928748
0.049,6.636912896,3.49752156,2.206900476,0.481705777,-0.715805927
1.292,3.409463823,3.119773366,0.097226269,0.68689738,-0.114358139
0.04,-1.205825417,-0.201771529,-1.321207354,1.566403885,-0.466181933
0.19,-0.131846866,-0.525623836,-0.22139687,-0.611092772,0.057755183
0.289,-1.577755103,1.229500911,-1.27882463,-0.581948606,-0.294726482
0.097,-1.094042916,0.358545646,-1.165406875,1.529551829,-0.727251969
0.393,-0.021784459,0.390695891,-1.306732817,0.074665121,-0.165071133
0.162,1.572078703,2.384031151,-0.397036681,0.200249836,-0.339962485
0.5,-2.447648951,1.358017633,-1.186591516,-0.67540229,-0.267525595
0.044,0.530212352,-1.407046148,0.349272241,0.319968239,-0.096969122
1.547,-2.686270967,0.862619772,-1.061286217,-0.511410367,0.153312845
0.311,0.885073462,-0.377899149,-0.147983402,-1.564103984,0.591511091
0.066,0.631664164,-0.71858649,-0.0360828,-1.666456924,0.515725212
0.037,0.352114658,-1.580093191,0.415326005,0.128007487,0.022503604
0.166,2.290402365,0.350614154,0.538174856,-0.150153202,-0.020354177
0.101,-1.581716819,-0.539054738,-0.934097636,1.132469956,-0.246253692
0.483,0.620303195,-1.425914593,0.48981168,0.15042147,0.32649099
0.157,1.852641341,-0.160024826,0.232003645,-0.752689905,0.298036585
0.059,-0.373601318,-1.183089017,-0.289943645,1.074707317,-0.346706156
26.059,-3.562321172,3.553608622,4.488504468,1.451238879,5.250535962
0.034,0.242540101,-1.229769994,0.386729362,-1.582647808,0.410374113
0.602,3.057804947,3.711903175,0.114054196,0.578283358,-0.426438525
0.237,-0.526800883,-1.858700231,-0.120626915,0.867263665,0.039671985
0.016,0.289785922,-1.981775614,0.250350034,1.074480252,-0.162796773
0.118,0.669018885,-0.337152514,-0.045163985,-1.555678885,0.337667723
0.131,0.671466083,-0.797229862,-0.245460973,1.800388165,-0.551849585
0.884,-0.307674783,0.327423112,-1.344937852,-1.171036787,0.416959189
0.008,0.164579406,-1.970516646,0.406130103,0.029489691,0.076728924
0.223,-3.510013254,1.992120294,3.956724667,-0.411267815,-1.138181209
0.835,0.138754273,-0.655559074,2.303627362,1.80478423,-0.570029142
0.085,-1.432176847,0.021847948,-1.093160358,-0.696973283,-0.030634064
0.214,-0.499004602,-1.650743733,-0.148886536,0.586877043,-0.010925261
0.653,-0.7741446,3.867932512,3.145226752,-0.442547325,-0.709147551
0.011,0.077846923,-1.154393335,0.399204695,-2.067331645,0.490083004
0.052,0.660630588,-1.027011827,0.832366264,0.661357958,-0.065931845
0.012,0.12435927,-1.538328879,0.104333341,1.443588599,-0.352564711
0.104,-0.279364508,-0.757921536,-0.200112077,-0.70391191,0.08560872
0.138,-0.317382806,-0.879839906,-0.166923254,-0.714675407,0.152550447
0.094,-0.828144087,0.921667028,-1.225559257,-0.315051724,-0.310586408
0.28,-1.054880583,0.269812107,-1.061647755,0.231099554,-0.133483351
0.324,-0.566038983,-0.309832005,-1.199955607,-0.928654661,0.344010731
0.026,-0.031382236,-0.548802022,-0.2171846,-0.400821496,-0.029816229
0.136,0.668795269,-1.284457058,0.180573946,1.195805792,-0.320122186
0.089,-1.52883146,-0.234852304,-1.011361857,-1.104112976,0.290819736
0.006,0.483743376,-1.301728825,0.398112169,-0.593433736,0.188840362
0.076,0.079348837,-0.522335878,-0.211737552,-0.617100047,0.088061045
0.144,1.119640706,2.733036516,-0.484800585,0.104395,-0.506554965
0.086,0.392308363,-0.487331021,-0.206623773,-0.941941448,0.426695324
0.05,0.828286488,-0.424240976,0.179679337,-1.531405569,0.440122941
0.373,-2.546568383,1.210272621,-1.178908131,-0.579922771,-0.340910913
0.033,0.282392345,-1.681422958,0.384829494,0.183667255,-0.000432334
0.267,2.977941713,1.836045364,0.21617892,0.093422645,-0.16662726
1.866,-2.167691111,0.948451585,-1.291464352,1.804969427,-0.602202629
0.072,-0.411004219,-1.198143987,-0.084570538,-0.669811467,0.274262094
0.045,0.652610928,-0.833137034,0.255422761,-0.904638366,0.124904562
0.223,0.130858736,-0.507836002,-0.158996959,-0.709811128,0.291952991
0.082,0.409567297,-0.633839834,0.144075412,-0.333688515,0.218075454
0.469,-1.722069254,0.647272081,-1.170147643,0.756765772,-0.488107922
0.135,-1.114462695,-0.048544673,-1.256325039,1.513939944,-0.572183227
0.198,-0.941636261,0.651676744,-1.150502148,-0.508653122,-0.081069942
0.814,1.041493634,-0.534453182,0.319222143,0.573802589,0.021713999
0.703,-1.331558238,1.110428304,-1.249996939,1.673802626,-0.637238794
0.059,-0.266698012,-1.359123148,-0.25313839,1.20417138,-0.288518531
0.32,-0.468161472,-0.033891106,-1.306027,-0.942337322,0.176575254
0.045,1.130716081,-0.590671779,0.26854664,-0.691258292,0.165734322
0.419,1.932375224,2.88528716,-0.418309873,0.384437994,-0.380420647
0.045,-3.554825055,1.399137891,4.086434779,0.974684203,-1.368568697
0.133,-0.613790168,-1.94043413,-0.11190871,0.756759123,0.020745042
0.127,2.080301427,0.129497248,1.021488903,0.220668555,-0.087299339
3.82,-3.292592463,2.346203906,4.126060788,-0.066082365,-0.054301727
0.013,0.590947,-1.143067274,0.343750913,-0.524521839,0.080728325
0.25,0.291093657,-1.174489751,0.175675958,-1.876225753,0.749750697
0.072,-1.170417796,-0.012236647,-1.231736624,1.389926828,-0.631349058
0.107,-0.467866075,-0.784415171,-0.140455423,-1.617509325,0.410184384
0.095,-0.342090994,-0.628926596,-0.168307567,-1.29952047,0.234354718
1,-2.283787323,1.329545097,-1.15198271,-0.5741059,-0.127699578
0.172,1.609665093,2.633017741,-0.443026119,0.303210967,-0.494817722
0.064,-0.12422178,-0.685314201,-0.22513761,-0.108937191,-0.191460242
13.612,-2.661515909,2.016429405,-0.854432712,-0.227432357,3.157228985
0.031,1.819992015,0.082289075,0.324829555,-0.426653025,0.047111164
0.529,0.975369362,-0.744969816,0.312478132,0.510252368,-0.043177409
0.015,0.317538692,-1.55823224,0.317043697,0.271116629,-0.141799049
0.134,-0.279974186,-0.829286395,-0.138527635,-0.830368607,0.328709545
0.661,-1.292392842,0.021085883,-1.046782329,0.094003334,-0.062337936
0.286,-1.685270258,0.890148198,-1.233927371,-0.88288051,-0.015601228
0.111,0.42377237,-0.716816876,-0.038557985,-1.689551169,0.432178748
1.219,-3.413426068,2.050334907,4.07975484,-0.360112163,-0.678292735
0.091,-0.597959218,-1.261742751,-0.189457367,0.062281502,-0.071815154
0.034,0.404339005,-1.679096266,0.506884409,-0.276630796,0.251428198
0.119,-1.205115698,0.083432796,-1.013225002,1.344706704,-0.453949878
0.075,0.68128106,-1.1257365,0.29810092,0.373420073,-0.193759014
0.701,0.789864109,-1.227618006,0.530669648,0.583662917,0.305220698
0.109,-0.561850599,-1.445349959,-0.218960816,0.627151783,-0.196443424
0.067,1.14628118,-0.785071982,0.398873458,-0.693079844,0.339151363
0.284,0.618626947,-0.429875306,-0.01385116,-1.592226676,0.440994597
1.59,-1.202883543,0.622115472,-1.139198604,-0.588894463,0.206830439
9.084,-1.567367494,1.827384909,-1.284100984,-0.15753758,1.888000835
0.339,2.442001056,0.622944317,0.66692983,-0.004601677,0.15424677
0.047,0.508914381,-1.334964011,0.355583403,-0.257727959,0.03645397
0.276,-2.069692701,-0.114286499,-1.198528626,1.194956189,-0.53165529
0.016,-0.472579813,-1.083191754,-0.249908609,0.38199347,-0.269421481
0.25,-3.482851319,1.592507177,4.089133459,0.731350197,-1.310186074
0.05,6.018211119,2.303727861,1.687092422,-0.262792083,-0.299818818
0.036,0.388457929,-1.421143396,-0.109677733,1.553588842,-0.380258709
0.127,2.281317285,0.15063582,0.662280303,-0.246835489,0.068832945
0.108,1.047567629,-0.584882664,0.336432716,0.735019591,-0.206449231
0.035,0.862657356,-0.80324505,0.373513752,1.222749781,-0.40089321
0.028,1.205515638,-0.684949641,0.377004722,-0.634462236,0.26125113
3.759,-2.465061118,1.278269782,-1.098936156,-0.302890224,0.480257389
0.007,0.476508775,-1.32507034,1.371927469,0.761020594,-0.048705432
4.892,-1.935303059,0.856544294,-1.124481429,0.57881138,0.728163243
0.021,0.991094037,-0.619639924,0.15455895,-1.064096857,0.281939347
0.672,-0.077317909,-0.90431369,-0.226453689,0.812084098,-0.105877907
0.103,0.903767665,-0.768520089,0.314832162,0.725748637,-0.234309933
0.091,-0.023544882,-0.543425469,-0.220758241,-0.592648187,0.059565964
0.268,-1.037658183,0.062264262,-1.247429896,1.539532168,-0.526911207
0.316,-2.364889167,1.272291905,-1.151492696,-0.816335617,-0.253105218
0.153,-0.348856161,-0.278925551,-0.218584664,-1.509339173,0.290342468
0.048,0.439469358,-1.591254443,0.4061769,0.156167249,0.049654379
0.14,0.408893379,-1.570077581,0.39202316,0.15152251,0.000720259
0.202,2.624615757,1.309958546,0.105644477,-0.196168917,-0.045488691
0.26,-1.909213513,0.324796879,-1.068093758,0.943882883,-0.52039544
0.067,0.556708073,-1.149841918,0.296403977,-1.726864809,0.790314646
0.07,0.362899173,-1.52393005,0.368997754,0.166477634,-0.03369071
0.096,0.139921614,-0.341102714,-0.232987879,-0.27587025,-0.079895026
1.673,1.058608939,0.826097312,0.67992753,1.33186769,0.06550936
0.051,-0.122744034,-0.578163296,-0.207997154,-0.774953786,0.194457858
0.066,0.317271043,-1.690725553,0.585808139,0.6471251,-0.068936839
0.548,-2.026254684,1.773265285,-1.142298429,-0.892046585,-0.095594475
0.114,0.894189434,-0.811595907,-0.012665342,1.634589433,-0.364892426
0.009,1.644708536,0.170310783,0.355552458,0.291607851,-0.386905028
0.027,0.477824702,-0.973491472,0.18825319,-1.247842104,0.256996162
0.192,-1.040352244,0.449498639,-1.118299473,-0.142756536,-0.19348569
0.382,1.639886156,2.468346506,-0.38397935,0.233242132,-0.281770134
0.015,0.743896348,-1.216345811,-0.408077036,-1.797312667,0.561330486
1.256,-1.53855833,0.152014571,-1.05085255,-1.231809756,0.456768776
0.054,-0.165329278,-0.91301892,-0.142449946,-0.854568294,0.280935214
0.103,5.685071243,2.400829176,-0.34347931,-0.768778003,-0.086003088
0.344,-1.765866007,0.819789522,-1.303990169,-0.922983798,-0.082500193
8.696,-2.169928141,1.911056204,-1.039162706,0.589871233,1.541860569
0.029,-0.350758687,-1.114739335,-0.108649874,-0.62018657,0.202093158
6.008,0.262404954,-0.170684151,2.393462926,2.227661887,0.687670311
0.61,-1.80525221,1.924652726,-1.163872401,0.093578572,-0.300689925
0.012,0.178980435,-1.985327895,0.448616768,-0.045334058,0.159096997
0.564,-1.695881476,1.109482928,-1.263463144,-0.752509496,-0.143293283
0.911,-2.069170345,2.031532015,-1.148925059,-0.978601225,0.009802885
1.933,-2.523689143,1.392200206,-1.052014284,-1.322821664,0.330670839
0.068,2.10742408,0.827767789,0.263180903,-0.183707886,-0.101065881
0.062,0.422949697,-0.451206344,-0.065382702,-1.625171189,0.337960787
0.011,0.193790132,-1.859725335,0.4428376,-0.873586252,0.343295468
0.116,-0.282822836,-1.403837517,-0.237934113,1.111147734,-0.248871542
0.13,-0.197561704,-0.346779702,-0.286566936,-0.556894311,-0.058040834
0.046,0.764739027,-0.046835569,-0.140752046,-1.403352279,0.055092479
0.009,1.830356336,0.393559008,0.07483133,-0.36475751,-0.223103781
1.182,0.126432555,-1.304281828,0.132001844,1.582840936,-0.150759142
0.189,0.594520919,-1.353589116,0.386319417,0.259486307,0.032180367
0.488,-1.287156612,0.068271038,-1.044625913,-0.249471091,0.056143639
0.701,-1.771131713,0.805513564,-1.309120538,-0.889676478,-0.007487102
0.038,2.599232883,0.946176235,0.642384716,0.328884739,-0.282559372
0.064,0.464812679,-1.565288691,0.404170243,0.193493635,0.050988838
